Subject;RT;Trial;Sex;NativeLanguage;Correct;Word;Frequency;Length;Class
A1;6,340359;23;F;English;correct;owl;4,859812;3;animal
A1;6,308098;27;F;English;correct;mole;4,60517;4;animal
A1;6,349139;29;F;English;correct;cherry;4,997212;6;plant
A1;6,186209;30;F;English;correct;pear;NA;4;plant
A1;6,025866;32;F;English;correct;dog;pas fini;3;animal
A1;6,180017;33;F;English;correct;blackberry;4,060443;10;plant
A1;6,035481;34;F;English;correct;strawberry;4,75359;10;plant
A1;6,263398;38;F;English;correct;squirrel;4,70953;8;animal
A1;6,459904;41;F;English;correct;radish;3,044522;6;plant
A1;6,184149;42;F;English;correct;almond;4,204693;6;plant
A1;6,137727;45;F;English;correct;whale;5,298317;5;animal
A1;6,242223;46;F;English;correct;reindeer;4,043051;8;animal
A1;6,003887;47;F;English;correct;blueberry;2,484907;9;plant
A1;6,035481;48;F;English;correct;lemon;5,631212;5;plant
A1;6,322565;53;F;English;correct;bee;5,700444;3;animal
A1;5,988961;54;F;English;correct;goat;6,228511;4;animal
A1;6,285998;55;F;English;correct;eggplant;1,791759;8;plant
A1;6,381816;58;F;English;correct;tomato;5,545177;6;plant
A1;5,958425;59;F;English;correct;peanut;4,59512;6;plant
A1;6,124683;61;F;English;incorrect;bat;5,918894;3;animal
A1;6,741701;62;F;English;correct;mustard;4,442651;7;plant
A1;6,821107;64;F;English;correct;magpie;2,995732;6;animal
A1;6,40688;65;F;English;correct;stork;3,044522;5;animal
A1;6,421622;67;F;English;correct;goose;5,267858;5;animal
A1;6,320768;68;F;English;correct;squid;3,970292;5;animal
A1;6,20859;75;F;English;correct;carrot;4,976734;6;plant
A1;6,214608;76;F;English;correct;crocodile;4,615121;9;animal
A1;7,114769;79;F;English;correct;tortoise;4,624973;8;animal
A1;6,09131;80;F;English;correct;spider;4,844187;6;animal
A1;6,20859;82;F;English;correct;grape;5,192957;5;plant
A1;6,36647;88;F;English;correct;fox;5,652489;3;animal
A1;6,582025;91;F;English;correct;potato;6,461468;6;plant
A1;6,514713;93;F;English;correct;frog;5,129899;4;animal
A1;6,352629;94;F;English;correct;beetroot;3,555348;8;plant
A1;6,278521;96;F;English;correct;asparagus;3,663562;9;plant
A1;5,988961;97;F;English;correct;mouse;5,805135;5;animal
A1;6,079933;98;F;English;correct;dolphin;4,007333;7;animal
A1;6,126869;100;F;English;correct;pineapple;3,988984;9;plant
A1;6,284134;102;F;English;correct;lettuce;4,812184;7;plant
A1;6,089045;106;F;English;correct;sheep;6,577861;5;animal
A1;6,383507;108;F;English;correct;cucumber;4,454347;8;plant
A1;6,22059;109;F;English;correct;gherkin;2,079442;7;plant
A1;6,381816;111;F;English;correct;gull;4,418841;4;animal
A1;6,202536;113;F;English;correct;pig;6,660575;3;animal
A1;6,356108;119;F;English;correct;camel;6,109248;5;animal
A1;6,107023;120;F;English;correct;shark;5,880533;5;animal
A1;6,517671;123;F;English;correct;vulture;4,248495;7;animal
A1;6,317165;125;F;English;correct;snake;6,120297;5;animal
A1;6,086775;126;F;English;correct;donkey;5,541264;6;animal
A1;6,163315;127;F;English;correct;broccoli;2,833213;8;plant
A1;6,673298;129;F;English;correct;apricot;3,828641;7;plant
A1;6,434547;133;F;English;correct;leek;3,332205;4;plant
A1;6,33328;134;F;English;correct;clove;3,663562;5;plant
A1;6,202536;135;F;English;correct;banana;5,023881;6;plant
A1;6,111467;136;F;English;correct;lion;6,098074;4;animal
A1;6,326149;139;F;English;correct;elephant;6,063785;8;animal
A1;6,903747;141;F;English;correct;hedgehog;3,637586;8;animal
A1;6,306275;144;F;English;correct;eagle;5,117994;5;animal
A1;6,118097;146;F;English;correct;apple;6,304449;5;plant
A1;6,472346;148;F;English;correct;kiwi;3,044522;4;plant
A1;6,697034;151;F;English;correct;wasp;4,682131;4;animal
A1;6,148468;152;F;English;correct;cat;7,086738;3;animal
A1;6,59987;153;F;English;correct;paprika;2,484907;7;plant
A1;6,775366;157;F;English;correct;ant;5,347108;3;animal
A1;6,36647;162;F;English;correct;bunny;3,332205;5;animal
A1;6,274762;163;F;English;correct;beaver;3,951244;6;animal
A1;6,023448;164;F;English;correct;horse;7,77191;5;animal
A1;6,139885;167;F;English;correct;mushroom;5,537334;8;plant
A1;6,293419;168;F;English;correct;woodpecker;2,890372;10;animal
A1;6,021023;169;F;English;correct;moose;2,70805;5;animal
A1;6,188264;170;F;English;correct;orange;6,378426;6;plant
A1;6,194405;173;F;English;correct;avocado;3,433987;7;plant
A1;5,899897;174;F;English;correct;chicken;6,59987;7;animal
A1;6,364751;177;F;English;correct;butterfly;5,214936;9;animal
